year,northAmerican,mexican,american,canadian,hawaiian,southwestern-united-states,asian,indian,german,european,italian,southern-united-states,indonesian,pacific-northwest,polish,chinese,british-columbian,danish,scandinavian,swiss,swedish,french,african,australian,english,quebec,middle-eastern,lebanese,greek,south-american,russian,japanese,puerto-rican,spanish,irish,thai,polynesian,iraqi,pakistani,scottish,south-african,colombian,welsh,czech,filipino,cuban,belgian,costa-rican,guatemalan,finnish,moroccan,iranian-persian,turkish,portuguese,hungarian,georgian,brazilian,nigerian,ethiopian,ecuadorean,peruvian,egyptian,argentine,chilean,malaysian,nepalese,vietnamese,palestinian,norwegian,austrian,libyan,angolan,korean,cambodian,mongolian
1999,553,45,490,9,2,23,87,16,16,273,103,61,2,0,0,25,0,1,6,3,2,26,5,1,29,0,8,1,29,4,8,7,0,11,10,13,0,0,0,1,1,1,1,0,1,1,0,0,0,0,2,0,3,4,8,0,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0
2000,168,57,106,2,1,5,55,12,54,123,15,45,1,0,1,18,0,1,4,0,0,12,3,0,2,0,4,0,2,0,2,1,0,2,6,3,0,0,0,2,0,0,6,1,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0
2001,1860,170,1379,499,9,127,411,115,37,672,205,196,11,187,9,81,0,27,56,5,14,54,63,29,44,0,113,36,85,33,5,11,0,14,18,19,1,0,0,25,7,0,4,12,9,12,8,0,0,2,15,12,34,8,7,0,6,2,7,0,0,16,8,1,0,0,1,0,3,2,0,0,10,0,0
2002,7112,645,5231,1201,90,699,1313,326,180,2648,807,1356,30,385,97,227,327,13,73,32,27,182,87,158,293,21,179,26,169,36,59,82,10,73,131,141,7,1,0,184,2,0,27,19,28,25,13,9,3,11,49,21,20,20,37,0,8,0,7,0,3,8,5,1,0,1,36,0,5,14,0,0,24,1,0
2003,3906,491,2648,431,40,463,1191,277,108,1804,628,621,26,6,52,231,96,9,56,38,18,132,105,172,82,42,152,27,221,60,33,74,2,61,28,107,7,6,3,42,17,2,5,15,7,2,11,7,4,8,43,9,17,21,33,2,20,3,2,0,7,3,8,6,29,1,30,4,13,10,5,2,23,2,1
2004,2881,460,1651,289,28,221,999,241,86,1340,455,433,9,13,32,154,41,12,51,6,14,96,116,112,47,4,88,10,140,41,12,43,3,49,28,87,10,2,7,35,18,8,2,6,6,14,11,5,1,8,51,12,12,24,19,1,9,2,2,1,1,5,4,6,10,27,21,10,6,4,4,0,14,0,0
2005,5163,797,2952,524,46,301,1356,229,132,2702,681,599,20,54,47,180,38,23,213,20,63,193,295,341,164,19,139,23,264,127,36,84,9,66,71,120,8,4,7,68,49,3,11,11,14,17,19,2,2,36,102,10,17,22,42,2,21,0,10,4,9,29,5,8,12,5,44,8,36,13,8,0,19,0,0
2006,5889,849,3575,431,49,418,1655,273,172,3182,999,821,27,50,45,183,52,13,126,27,26,323,436,310,192,14,209,30,272,115,44,115,8,106,66,114,15,7,25,66,57,5,7,26,37,32,21,3,2,21,82,18,21,27,42,1,19,8,13,8,8,29,4,10,12,1,36,14,23,19,3,1,29,4,1
2007,6357,1017,3890,337,38,461,1843,304,126,3271,966,885,30,82,28,235,24,37,171,22,55,447,384,571,280,26,215,35,235,150,54,133,28,205,94,149,18,10,47,92,48,8,60,11,33,40,17,3,3,14,130,37,23,52,24,0,30,1,10,4,16,29,14,4,16,3,32,14,29,25,4,0,36,6,2
2008,4798,679,2886,388,44,248,1688,223,138,2645,896,603,24,61,30,239,31,11,71,12,16,213,455,410,185,19,190,36,310,215,66,109,13,76,68,135,15,16,26,61,58,7,31,11,36,31,27,13,8,9,104,33,35,15,44,4,43,11,11,10,23,26,29,15,22,9,42,6,8,20,7,0,31,5,2
2009,4232,595,2414,209,32,242,1211,165,76,2330,689,577,12,34,32,160,11,22,83,20,22,270,215,348,150,25,199,30,148,125,15,74,17,225,44,78,10,17,14,62,14,16,18,7,13,34,7,3,3,17,83,31,28,101,24,2,23,2,3,3,13,21,6,5,8,2,25,14,4,13,5,0,30,1,3
2010,1695,253,1137,69,18,100,760,118,157,1671,266,236,9,15,14,87,1,42,272,20,90,93,229,111,159,11,231,27,293,58,9,40,2,30,30,53,9,22,5,59,11,5,26,2,5,9,26,1,0,29,82,36,41,8,14,1,12,2,2,1,8,25,6,2,3,3,18,17,51,20,3,1,14,2,0
2011,1472,243,1104,75,32,92,300,86,38,908,351,235,4,0,6,70,4,0,9,158,5,73,235,128,34,1,108,6,56,213,6,22,0,32,13,47,97,4,2,3,35,9,0,5,4,7,2,1,7,2,23,8,8,12,8,1,42,6,15,5,24,3,25,14,5,0,12,1,1,11,0,6,9,0,2
2012,1125,205,842,53,7,77,220,265,33,691,157,176,9,0,6,52,5,3,11,6,2,136,42,111,67,2,112,14,26,30,6,18,6,112,35,43,3,5,1,11,3,6,3,3,5,6,2,1,1,2,16,13,13,36,4,1,1,0,2,0,4,4,2,1,1,1,10,1,1,10,1,0,4,1,1
2013,1006,97,683,33,3,45,279,37,18,466,115,228,3,0,4,40,3,16,90,3,18,10,167,39,11,2,93,5,126,17,1,15,6,5,9,81,2,3,3,2,2,2,0,6,3,23,0,0,0,11,111,10,8,2,6,2,2,1,0,0,3,1,3,1,1,0,30,3,16,1,0,3,6,24,1
2014,219,46,166,18,1,10,63,11,5,118,49,34,1,0,4,20,1,0,0,1,0,6,5,3,3,1,12,0,7,26,25,3,0,4,4,11,1,0,0,2,1,1,0,1,0,1,1,0,0,0,1,1,0,2,1,0,8,0,1,1,1,0,3,2,0,0,4,0,0,2,0,0,2,0,0
2015,18,20,10,2,2,2,22,4,0,23,11,0,0,0,0,4,0,0,0,2,0,1,2,0,0,0,4,0,2,1,0,11,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,11,4,5,1,0,1,15,3,0,15,4,3,0,0,0,0,1,0,1,0,1,1,1,0,0,0,2,0,2,0,0,5,1,1,1,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,11,4,1,0,1,12,2,1,24,12,2,0,0,0,2,0,0,1,0,0,0,6,0,1,0,7,1,3,0,0,4,1,0,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0
2018,7,10,6,0,2,0,5,1,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0
