year,northAmerican,mexican,american,canadian,hawaiian,southwestern-united-states,asian,indian,german,european,italian,southern-united-states,indonesian,pacific-northwest,polish,chinese,british-columbian,danish,scandinavian,swiss,swedish,french,african,australian,english,quebec,middle-eastern,lebanese,greek,south-american,russian,japanese,puerto-rican,spanish,irish,thai,polynesian,iraqi,pakistani,scottish,south-african,colombian,welsh,czech,filipino,cuban,belgian,costa-rican,guatemalan,finnish,moroccan,iranian-persian,turkish,portuguese,hungarian,georgian,brazilian,nigerian,ethiopian,ecuadorean,peruvian,egyptian,argentine,chilean,malaysian,nepalese,vietnamese,palestinian,norwegian,austrian,libyan,angolan,korean,cambodian,mongolian
1999,8.0,4.0,9.0,1.0,2.0,3.0,4.0,5.0,9.0,8.0,10.0,4.0,7.000000000000001,0.0,0.0,10.0,0.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,10.0,0.0,3.0,3.0,9.0,2.0,12.0,5.0,0.0,5.0,8.0,8.0,0.0,0.0,0.0,1.0,2.0,6.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.000000000000001,4.0,18.0,0.0,7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0
2000,2.0,5.0,2.0,0.0,1.0,1.0,3.0,3.0,30.0,4.0,1.0,3.0,3.0,0.0,1.0,8.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,26.0,16.0,26.0,42.0,10.0,18.0,22.0,35.0,21.0,20.0,20.0,14.000000000000002,37.0,49.0,9.0,34.0,0.0,64.0,21.0,3.0,16.0,12.0,14.000000000000002,5.0,15.0,0.0,48.0,100.0,27.0,15.0,8.0,8.0,0.0,6.0,14.000000000000002,12.0,1.0,0.0,0.0,14.000000000000002,12.0,0.0,7.000000000000001,46.0,24.0,30.0,30.0,0.0,0.0,6.0,12.0,32.0,83.0,8.0,16.0,0.0,14.000000000000002,18.0,47.0,0.0,0.0,55.00000000000001,28.000000000000004,7.000000000000001,0.0,0.0,2.0,0.0,6.0,8.0,0.0,0.0,28.000000000000004,0.0,0.0
2002,100.0,63.0,100.0,100.0,100.0,100.0,71.0,100.0,100.0,81.0,81.0,100.0,100.0,100.0,100.0,95.0,100.0,31.0,27.0,20.0,30.0,41.0,19.0,28.000000000000004,100.0,50.0,77.0,72.0,54.0,17.0,89.0,62.0,36.0,32.0,100.0,95.0,7.000000000000001,5.0,0.0,100.0,3.0,0.0,45.0,73.0,76.0,62.0,48.0,69.0,38.0,31.0,38.0,56.99999999999999,49.0,20.0,84.0,0.0,19.0,0.0,47.0,0.0,12.0,28.000000000000004,17.0,7.000000000000001,0.0,4.0,82.0,0.0,10.0,56.00000000000001,0.0,0.0,67.0,4.0,0.0
2003,55.00000000000001,48.0,51.0,36.0,44.0,66.0,65.0,85.0,60.0,55.00000000000001,63.0,46.0,87.0,2.0,54.0,97.0,28.999999999999996,21.0,21.0,24.0,20.0,30.0,23.0,30.0,28.000000000000004,100.0,66.0,75.0,71.0,28.000000000000004,50.0,56.00000000000001,7.000000000000001,27.0,21.0,72.0,7.000000000000001,27.0,6.0,23.0,28.999999999999996,12.0,8.0,57.99999999999999,19.0,5.0,41.0,54.0,50.0,22.0,33.0,24.0,41.0,21.0,75.0,50.0,47.0,27.0,13.0,0.0,28.999999999999996,10.0,28.000000000000004,40.0,100.0,4.0,68.0,24.0,25.0,40.0,62.0,33.0,64.0,8.0,33.0
2004,40.0,45.0,32.0,24.0,31.0,32.0,54.0,74.0,48.0,41.0,45.0,32.0,30.0,3.0,33.0,64.0,13.0,28.999999999999996,19.0,4.0,16.0,21.0,25.0,20.0,16.0,10.0,38.0,28.000000000000004,45.0,19.0,18.0,32.0,11.0,22.0,21.0,57.99999999999999,10.0,9.0,15.0,19.0,31.0,50.0,3.0,23.0,16.0,35.0,41.0,38.0,12.0,22.0,39.0,32.0,28.999999999999996,24.0,43.0,25.0,21.0,18.0,13.0,10.0,4.0,17.0,14.000000000000002,40.0,34.0,100.0,48.0,59.0,12.0,16.0,50.0,0.0,39.0,0.0,0.0
2005,73.0,78.0,56.00000000000001,44.0,51.0,43.0,74.0,70.0,73.0,83.0,68.0,44.0,67.0,14.000000000000002,48.0,75.0,12.0,55.00000000000001,78.0,13.0,70.0,43.0,65.0,60.0,56.00000000000001,45.0,60.0,64.0,85.0,59.0,55.00000000000001,63.0,32.0,28.999999999999996,54.0,80.0,8.0,18.0,15.0,37.0,84.0,19.0,18.0,42.0,38.0,43.0,70.0,15.0,25.0,100.0,78.0,27.0,41.0,22.0,95.0,50.0,49.0,0.0,67.0,40.0,38.0,100.0,17.0,53.0,41.0,19.0,100.0,47.0,71.0,52.0,100.0,0.0,53.0,0.0,0.0
2006,83.0,83.0,68.0,36.0,54.0,60.0,90.0,84.0,96.0,97.0,100.0,61.0,90.0,13.0,46.0,77.0,16.0,31.0,46.0,17.0,28.999999999999996,72.0,96.0,54.0,66.0,33.0,90.0,83.0,88.0,53.0,67.0,86.0,28.999999999999996,47.0,50.0,76.0,15.0,32.0,53.0,36.0,98.0,31.0,12.0,100.0,100.0,80.0,78.0,23.0,25.0,57.99999999999999,63.0,49.0,51.0,27.0,95.0,25.0,44.0,73.0,87.0,80.0,33.0,100.0,14.000000000000002,67.0,41.0,4.0,82.0,82.0,45.0,76.0,38.0,17.0,81.0,17.0,33.0
2007,89.0,100.0,74.0,28.000000000000004,42.0,66.0,100.0,93.0,70.0,100.0,97.0,65.0,100.0,21.0,28.999999999999996,98.0,7.000000000000001,88.0,63.0,14.000000000000002,61.0,100.0,84.0,100.0,96.0,62.0,93.0,97.0,76.0,70.0,82.0,100.0,100.0,91.0,72.0,100.0,19.0,45.0,100.0,50.0,83.0,50.0,100.0,42.0,89.0,100.0,63.0,23.0,38.0,39.0,100.0,100.0,56.00000000000001,51.0,55.00000000000001,0.0,70.0,9.0,67.0,40.0,67.0,100.0,48.0,27.0,55.00000000000001,11.0,73.0,82.0,56.99999999999999,100.0,50.0,0.0,100.0,25.0,67.0
2008,67.0,67.0,55.00000000000001,32.0,49.0,35.0,92.0,68.0,77.0,81.0,90.0,44.0,80.0,16.0,31.0,100.0,9.0,26.0,26.0,8.0,18.0,48.0,100.0,72.0,63.0,45.0,82.0,100.0,100.0,100.0,100.0,82.0,46.0,34.0,52.0,91.0,15.0,73.0,55.00000000000001,33.0,100.0,44.0,52.0,42.0,97.0,78.0,100.0,100.0,100.0,25.0,80.0,89.0,85.0,15.0,100.0,100.0,100.0,100.0,73.0,100.0,96.0,90.0,100.0,100.0,76.0,33.0,95.0,35.0,16.0,80.0,88.0,0.0,86.0,21.0,67.0
