Cuisine,Ingredient,Frequency
Northamerican,butter,11386
Mexican,butter,603
American,butter,7876
Canadian,butter,1317
Hawaiian,butter,79
South Eestern United States,butter,440
Asian,butter,912
Indian,butter,291
German,butter,466
European,butter,6415
Italian,butter,1333
Southern United States,butter,2017
Indonesian,butter,13
Pacific North West,butter,243
Polish,butter,165
Chinese,butter,68
British Columbian,butter,139
Danish,butter,108
Scandinavian,butter,585
Swiss,butter,130
Swedish,butter,185
French,butter,727
African,butter,411
Australian,butter,687
English,butter,606
Quebec,butter,56
Middle Eastern,butter,256
Lebanese,butter,32
Greek,butter,390
South American,butter,180
Russian,butter,115
Japanese,butter,46
Puertorican,butter,8
Spanish,butter,100
Irish,butter,233
Thai,butter,26
Polynesian,butter,27
Iraqi,butter,11
Pakistani,butter,11
Scottish,butter,339
South African,butter,105
Colombian,butter,17
Welsh,butter,100
Czech,butter,69
Filipino,butter,20
Cuban,butter,25
Belgian,butter,69
Costarican,butter,7
Guatemalan,butter,1
Finnish,butter,86
Moroccan,butter,84
Iranian Persian,butter,40
Turkish,butter,44
Portuguese,butter,65
Hungarian,butter,98
Georgian,butter,6
Brazilian,butter,40
Nigerian,butter,3
Ethiopian,butter,20
Ecuadorean,butter,5
Peruvian,butter,5
Egyptian,butter,33
Argentine,butter,20
Chilean,butter,8
Malaysian,butter,1
Nepalese,butter,9
Vietnamese,butter,2
Palestinian,butter,6
Norwegian,butter,97
Austrian,butter,74
Libyan,butter,2
Angolan,butter,
Korean,butter,4
Cambodian,butter,2
Mongolian,butter,
Northamerican,onion,11774
Mexican,onion,2322
American,onion,7350
Canadian,onion,1041
Hawaiian,onion,48
South Eestern United States,onion,1178
Asian,onion,3375
Indian,onion,1236
German,onion,464
European,onion,6581
Italian,onion,1968
Southern United States,onion,1994
Indonesian,onion,80
Pacific North West,onion,189
Polish,onion,176
Chinese,onion,317
British Columbian,onion,143
Danish,onion,40
Scandinavian,onion,226
Swiss,onion,90
Swedish,onion,80
French,onion,452
African,onion,1085
Australian,onion,488
English,onion,365
Quebec,onion,61
Middle Eastern,onion,703
Lebanese,onion,113
Greek,onion,638
South American,onion,390
Russian,onion,152
Japanese,onion,101
Puertorican,onion,24
Spanish,onion,334
Irish,onion,174
Thai,onion,222
Polynesian,onion,41
Iraqi,onion,44
Pakistani,onion,78
Scottish,onion,135
South African,onion,105
Colombian,onion,22
Welsh,onion,39
Czech,onion,38
Filipino,onion,79
Cuban,onion,95
Belgian,onion,37
Costarican,onion,14
Guatemalan,onion,13
Finnish,onion,33
Moroccan,onion,354
Iranian Persian,onion,110
Turkish,onion,98
Portuguese,onion,126
Hungarian,onion,164
Georgian,onion,6
Brazilian,onion,74
Nigerian,onion,15
Ethiopian,onion,38
Ecuadorean,onion,10
Peruvian,onion,36
Egyptian,onion,89
Argentine,onion,35
Chilean,onion,35
Malaysian,onion,34
Nepalese,onion,30
Vietnamese,onion,59
Palestinian,onion,24
Norwegian,onion,19
Austrian,onion,41
Libyan,onion,15
Angolan,onion,4
Korean,onion,36
Cambodian,onion,4
Mongolian,onion,3
Northamerican,olive oil,5770
Mexican,olive oil,996
American,olive oil,3383
Canadian,olive oil,502
Hawaiian,olive oil,17
South Eestern United States,olive oil,531
Asian,olive oil,1451
Indian,olive oil,230
German,olive oil,87
European,olive oil,6772
Italian,olive oil,2883
Southern United States,olive oil,649
Indonesian,olive oil,11
Pacific North West,olive oil,131
Polish,olive oil,18
Chinese,olive oil,90
British Columbian,olive oil,77
Danish,olive oil,4
Scandinavian,olive oil,64
Swiss,olive oil,28
Swedish,olive oil,15
French,olive oil,524
African,olive oil,914
Australian,olive oil,558
English,olive oil,198
Quebec,olive oil,19
Middle Eastern,olive oil,703
Lebanese,olive oil,129
Greek,olive oil,1177
South American,olive oil,327
Russian,olive oil,32
Japanese,olive oil,59
Puertorican,olive oil,33
Spanish,olive oil,476
Irish,olive oil,49
Thai,olive oil,103
Polynesian,olive oil,14
Iraqi,olive oil,14
Pakistani,olive oil,6
Scottish,olive oil,34
South African,olive oil,28
Colombian,olive oil,15
Welsh,olive oil,8
Czech,olive oil,4
Filipino,olive oil,10
Cuban,olive oil,96
Belgian,olive oil,23
Costarican,olive oil,6
Guatemalan,olive oil,7
Finnish,olive oil,5
Moroccan,olive oil,472
Iranian Persian,olive oil,52
Turkish,olive oil,105
Portuguese,olive oil,165
Hungarian,olive oil,44
Georgian,olive oil,2
Brazilian,olive oil,54
Nigerian,olive oil,7
Ethiopian,olive oil,20
Ecuadorean,olive oil,7
Peruvian,olive oil,38
Egyptian,olive oil,59
Argentine,olive oil,52
Chilean,olive oil,21
Malaysian,olive oil,8
Nepalese,olive oil,2
Vietnamese,olive oil,15
Palestinian,olive oil,41
Norwegian,olive oil,7
Austrian,olive oil,9
Libyan,olive oil,18
Angolan,olive oil,3
Korean,olive oil,8
Cambodian,olive oil,3
Mongolian,olive oil,2
Northamerican,garlic cloves,4921
Mexican,garlic cloves,1186
American,garlic cloves,2721
Canadian,garlic cloves,367
Hawaiian,garlic cloves,33
South Eestern United States,garlic cloves,564
Asian,garlic cloves,2908
Indian,garlic cloves,604
German,garlic cloves,46
European,garlic cloves,4373
Italian,garlic cloves,1946
Southern United States,garlic cloves,667
Indonesian,garlic cloves,79
Pacific North West,garlic cloves,59
Polish,garlic cloves,21
Chinese,garlic cloves,376
British Columbian,garlic cloves,44
Danish,garlic cloves,6
Scandinavian,garlic cloves,35
Swiss,garlic cloves,29
Swedish,garlic cloves,8
French,garlic cloves,366
African,garlic cloves,759
Australian,garlic cloves,423
English,garlic cloves,130
Quebec,garlic cloves,21
Middle Eastern,garlic cloves,461
Lebanese,garlic cloves,84
Greek,garlic cloves,539
South American,garlic cloves,298
Russian,garlic cloves,48
Japanese,garlic cloves,68
Puertorican,garlic cloves,28
Spanish,garlic cloves,326
Irish,garlic cloves,46
Thai,garlic cloves,295
Polynesian,garlic cloves,22
Iraqi,garlic cloves,24
Pakistani,garlic cloves,39
Scottish,garlic cloves,23
South African,garlic cloves,56
Colombian,garlic cloves,11
Welsh,garlic cloves,10
Czech,garlic cloves,8
Filipino,garlic cloves,56
Cuban,garlic cloves,87
Belgian,garlic cloves,22
Costarican,garlic cloves,11
Guatemalan,garlic cloves,6
Finnish,garlic cloves,1
Moroccan,garlic cloves,311
Iranian Persian,garlic cloves,41
Turkish,garlic cloves,48
Portuguese,garlic cloves,120
Hungarian,garlic cloves,46
Georgian,garlic cloves,6
Brazilian,garlic cloves,58
Nigerian,garlic cloves,4
Ethiopian,garlic cloves,22
Ecuadorean,garlic cloves,10
Peruvian,garlic cloves,33
Egyptian,garlic cloves,56
Argentine,garlic cloves,45
Chilean,garlic cloves,22
Malaysian,garlic cloves,36
Nepalese,garlic cloves,14
Vietnamese,garlic cloves,99
Palestinian,garlic cloves,24
Norwegian,garlic cloves,6
Austrian,garlic cloves,10
Libyan,garlic cloves,10
Angolan,garlic cloves,3
Korean,garlic cloves,79
Cambodian,garlic cloves,22
Mongolian,garlic cloves,6
Northamerican,eggs,6737
Mexican,eggs,492
American,eggs,4746
Canadian,eggs,629
Hawaiian,eggs,64
South Eestern United States,eggs,285
Asian,eggs,818
Indian,eggs,72
German,eggs,327
European,eggs,4027
Italian,eggs,899
Southern United States,eggs,1150
Indonesian,eggs,25
Pacific North West,eggs,125
Polish,eggs,78
Chinese,eggs,203
British Columbian,eggs,66
Danish,eggs,57
Scandinavian,eggs,289
Swiss,eggs,70
Swedish,eggs,77
French,eggs,370
African,eggs,249
Australian,eggs,394
English,eggs,296
Quebec,eggs,22
Middle Eastern,eggs,180
Lebanese,eggs,11
Greek,eggs,348
South American,eggs,131
Russian,eggs,74
Japanese,eggs,71
Puertorican,eggs,9
Spanish,eggs,154
Irish,eggs,102
Thai,eggs,57
Polynesian,eggs,11
Iraqi,eggs,6
Pakistani,eggs,6
Scottish,eggs,99
South African,eggs,72
Colombian,eggs,15
Welsh,eggs,50
Czech,eggs,45
Filipino,eggs,18
Cuban,eggs,16
Belgian,eggs,27
Costarican,eggs,4
Guatemalan,eggs,2
Finnish,eggs,43
Moroccan,eggs,52
Iranian Persian,eggs,22
Turkish,eggs,19
Portuguese,eggs,56
Hungarian,eggs,62
Georgian,eggs,3
Brazilian,eggs,35
Nigerian,eggs,1
Ethiopian,eggs,1
Ecuadorean,eggs,5
Peruvian,eggs,12
Egyptian,eggs,18
Argentine,eggs,15
Chilean,eggs,9
Malaysian,eggs,13
Nepalese,eggs,1
Vietnamese,eggs,9
Palestinian,eggs,4
Norwegian,eggs,53
Austrian,eggs,40
Libyan,eggs,1
Angolan,eggs,
Korean,eggs,20
Cambodian,eggs,3
Mongolian,eggs,
Northamerican,flour,5615
Mexican,flour,362
American,flour,4011
Canadian,flour,560
Hawaiian,flour,56
South Eestern United States,flour,253
Asian,flour,451
Indian,flour,91
German,flour,361
European,flour,3295
Italian,flour,575
Southern United States,flour,936
Indonesian,flour,8
Pacific North West,flour,126
Polish,flour,115
Chinese,flour,72
British Columbian,flour,51
Danish,flour,56
Scandinavian,flour,318
Swiss,flour,61
Swedish,flour,105
French,flour,284
African,flour,169
Australian,flour,138
English,flour,219
Quebec,flour,39
Middle Eastern,flour,98
Lebanese,flour,14
Greek,flour,199
South American,flour,83
Russian,flour,69
Japanese,flour,46
Puertorican,flour,6
Spanish,flour,52
Irish,flour,103
Thai,flour,16
Polynesian,flour,23
Iraqi,flour,4
Pakistani,flour,8
Scottish,flour,140
South African,flour,51
Colombian,flour,1
Welsh,flour,28
Czech,flour,61
Filipino,flour,15
Cuban,flour,16
Belgian,flour,31
Costarican,flour,1
Guatemalan,flour,1
Finnish,flour,33
Moroccan,flour,33
Iranian Persian,flour,7
Turkish,flour,18
Portuguese,flour,22
Hungarian,flour,95
Georgian,flour,2
Brazilian,flour,19
Nigerian,flour,
Ethiopian,flour,1
Ecuadorean,flour,2
Peruvian,flour,5
Egyptian,flour,11
Argentine,flour,8
Chilean,flour,5
Malaysian,flour,5
Nepalese,flour,2
Vietnamese,flour,4
Palestinian,flour,5
Norwegian,flour,66
Austrian,flour,45
Libyan,flour,3
Angolan,flour,1
Korean,flour,11
Cambodian,flour,
Mongolian,flour,
Northamerican,milk,5657
Mexican,milk,369
American,milk,4011
Canadian,milk,537
Hawaiian,milk,30
South Eestern United States,milk,211
Asian,milk,412
Indian,milk,179
German,milk,267
European,milk,2727
Italian,milk,433
Southern United States,milk,959
Indonesian,milk,11
Pacific North West,milk,107
Polish,milk,65
Chinese,milk,42
British Columbian,milk,59
Danish,milk,43
Scandinavian,milk,271
Swiss,milk,65
Swedish,milk,87
French,milk,261
African,milk,185
Australian,milk,335
English,milk,352
Quebec,milk,33
Middle Eastern,milk,88
Lebanese,milk,10
Greek,milk,162
South American,milk,135
Russian,milk,49
Japanese,milk,23
Puertorican,milk,4
Spanish,milk,62
Irish,milk,117
Thai,milk,7
Polynesian,milk,8
Iraqi,milk,1
Pakistani,milk,9
Scottish,milk,124
South African,milk,64
Colombian,milk,8
Welsh,milk,57
Czech,milk,34
Filipino,milk,13
Cuban,milk,11
Belgian,milk,23
Costarican,milk,3
Guatemalan,milk,
Finnish,milk,51
Moroccan,milk,27
Iranian Persian,milk,2
Turkish,milk,20
Portuguese,milk,30
Hungarian,milk,37
Georgian,milk,1
Brazilian,milk,43
Nigerian,milk,1
Ethiopian,milk,2
Ecuadorean,milk,7
Peruvian,milk,8
Egyptian,milk,15
Argentine,milk,11
Chilean,milk,9
Malaysian,milk,3
Nepalese,milk,2
Vietnamese,milk,6
Palestinian,milk,6
Norwegian,milk,47
Austrian,milk,28
Libyan,milk,4
Angolan,milk,
Korean,milk,2
Cambodian,milk,
Mongolian,milk,
Northamerican,pepper,5105
Mexican,pepper,548
American,pepper,3433
Canadian,pepper,554
Hawaiian,pepper,20
South Eestern United States,pepper,339
Asian,pepper,880
Indian,pepper,101
German,pepper,223
European,pepper,2939
Italian,pepper,874
Southern United States,pepper,880
Indonesian,pepper,15
Pacific North West,pepper,106
Polish,pepper,70
Chinese,pepper,143
British Columbian,pepper,92
Danish,pepper,24
Scandinavian,pepper,135
Swiss,pepper,49
Swedish,pepper,39
French,pepper,274
African,pepper,202
Australian,pepper,103
English,pepper,97
Quebec,pepper,31
Middle Eastern,pepper,249
Lebanese,pepper,45
Greek,pepper,335
South American,pepper,116
Russian,pepper,37
Japanese,pepper,46
Puertorican,pepper,8
Spanish,pepper,112
Irish,pepper,50
Thai,pepper,35
Polynesian,pepper,23
Iraqi,pepper,12
Pakistani,pepper,7
Scottish,pepper,41
South African,pepper,13
Colombian,pepper,9
Welsh,pepper,18
Czech,pepper,11
Filipino,pepper,19
Cuban,pepper,20
Belgian,pepper,25
Costarican,pepper,2
Guatemalan,pepper,3
Finnish,pepper,10
Moroccan,pepper,61
Iranian Persian,pepper,33
Turkish,pepper,33
Portuguese,pepper,43
Hungarian,pepper,49
Georgian,pepper,3
Brazilian,pepper,20
Nigerian,pepper,1
Ethiopian,pepper,4
Ecuadorean,pepper,2
Peruvian,pepper,16
Egyptian,pepper,19
Argentine,pepper,16
Chilean,pepper,4
Malaysian,pepper,5
Nepalese,pepper,2
Vietnamese,pepper,22
Palestinian,pepper,13
Norwegian,pepper,31
Austrian,pepper,20
Libyan,pepper,
Angolan,pepper,1
Korean,pepper,22
Cambodian,pepper,2
Mongolian,pepper,
Northamerican,garlic,4012
Mexican,garlic,760
American,garlic,2531
Canadian,garlic,461
Hawaiian,garlic,27
South Eestern United States,garlic,510
Asian,garlic,2348
Indian,garlic,395
German,garlic,43
European,garlic,2420
Italian,garlic,1208
Southern United States,garlic,697
Indonesian,garlic,44
Pacific North West,garlic,110
Polish,garlic,24
Chinese,garlic,426
British Columbian,garlic,84
Danish,garlic,
Scandinavian,garlic,7
Swiss,garlic,12
Swedish,garlic,5
French,garlic,172
African,garlic,263
Australian,garlic,201
English,garlic,55
Quebec,garlic,11
Middle Eastern,garlic,223
Lebanese,garlic,40
Greek,garlic,296
South American,garlic,129
Russian,garlic,20
Japanese,garlic,61
Puertorican,garlic,10
Spanish,garlic,140
Irish,garlic,35
Thai,garlic,279
Polynesian,garlic,17
Iraqi,garlic,6
Pakistani,garlic,13
Scottish,garlic,14
South African,garlic,21
Colombian,garlic,6
Welsh,garlic,2
Czech,garlic,5
Filipino,garlic,45
Cuban,garlic,49
Belgian,garlic,8
Costarican,garlic,4
Guatemalan,garlic,2
Finnish,garlic,
Moroccan,garlic,94
Iranian Persian,garlic,15
Turkish,garlic,30
Portuguese,garlic,53
Hungarian,garlic,22
Georgian,garlic,1
Brazilian,garlic,20
Nigerian,garlic,
Ethiopian,garlic,22
Ecuadorean,garlic,1
Peruvian,garlic,20
Egyptian,garlic,12
Argentine,garlic,21
Chilean,garlic,10
Malaysian,garlic,16
Nepalese,garlic,19
Vietnamese,garlic,83
Palestinian,garlic,3
Norwegian,garlic,
Austrian,garlic,2
Libyan,garlic,4
Angolan,garlic,1
Korean,garlic,87
Cambodian,garlic,3
Mongolian,garlic,5
Northamerican,tomatoes,2879
Mexican,tomatoes,998
American,tomatoes,1518
Canadian,tomatoes,231
Hawaiian,tomatoes,8
South Eestern United States,tomatoes,421
Asian,tomatoes,981
Indian,tomatoes,466
German,tomatoes,27
European,tomatoes,1892
Italian,tomatoes,645
Southern United States,tomatoes,339
Indonesian,tomatoes,15
Pacific North West,tomatoes,32
Polish,tomatoes,20
Chinese,tomatoes,56
British Columbian,tomatoes,56
Danish,tomatoes,9
Scandinavian,tomatoes,28
Swiss,tomatoes,14
Swedish,tomatoes,5
French,tomatoes,149
African,tomatoes,349
Australian,tomatoes,182
English,tomatoes,54
Quebec,tomatoes,7
Middle Eastern,tomatoes,295
Lebanese,tomatoes,51
Greek,tomatoes,395
South American,tomatoes,195
Russian,tomatoes,16
Japanese,tomatoes,10
Puertorican,tomatoes,9
Spanish,tomatoes,155
Irish,tomatoes,9
Thai,tomatoes,50
Polynesian,tomatoes,15
Iraqi,tomatoes,18
Pakistani,tomatoes,43
Scottish,tomatoes,11
South African,tomatoes,32
Colombian,tomatoes,25
Welsh,tomatoes,10
Czech,tomatoes,7
Filipino,tomatoes,15
Cuban,tomatoes,11
Belgian,tomatoes,6
Costarican,tomatoes,7
Guatemalan,tomatoes,8
Finnish,tomatoes,3
Moroccan,tomatoes,94
Iranian Persian,tomatoes,21
Turkish,tomatoes,56
Portuguese,tomatoes,46
Hungarian,tomatoes,26
Georgian,tomatoes,
Brazilian,tomatoes,29
Nigerian,tomatoes,11
Ethiopian,tomatoes,10
Ecuadorean,tomatoes,10
Peruvian,tomatoes,19
Egyptian,tomatoes,27
Argentine,tomatoes,19
Chilean,tomatoes,15
Malaysian,tomatoes,8
Nepalese,tomatoes,16
Vietnamese,tomatoes,14
Palestinian,tomatoes,19
Norwegian,tomatoes,3
Austrian,tomatoes,3
Libyan,tomatoes,6
Angolan,tomatoes,4
Korean,tomatoes,
Cambodian,tomatoes,1
Mongolian,tomatoes,
Northamerican,vegetable oil,3193
Mexican,vegetable oil,601
American,vegetable oil,1963
Canadian,vegetable oil,244
Hawaiian,vegetable oil,40
South Eestern United States,vegetable oil,300
Asian,vegetable oil,1967
Indian,vegetable oil,427
German,vegetable oil,102
European,vegetable oil,954
Italian,vegetable oil,178
Southern United States,vegetable oil,550
Indonesian,vegetable oil,27
Pacific North West,vegetable oil,33
Polish,vegetable oil,16
Chinese,vegetable oil,350
British Columbian,vegetable oil,53
Danish,vegetable oil,7
Scandinavian,vegetable oil,49
Swiss,vegetable oil,18
Swedish,vegetable oil,17
French,vegetable oil,74
African,vegetable oil,172
Australian,vegetable oil,105
English,vegetable oil,76
Quebec,vegetable oil,10
Middle Eastern,vegetable oil,128
Lebanese,vegetable oil,17
Greek,vegetable oil,37
South American,vegetable oil,112
Russian,vegetable oil,27
Japanese,vegetable oil,107
Puertorican,vegetable oil,9
Spanish,vegetable oil,33
Irish,vegetable oil,44
Thai,vegetable oil,210
Polynesian,vegetable oil,16
Iraqi,vegetable oil,6
Pakistani,vegetable oil,18
Scottish,vegetable oil,19
South African,vegetable oil,11
Colombian,vegetable oil,12
Welsh,vegetable oil,9
Czech,vegetable oil,5
Filipino,vegetable oil,23
Cuban,vegetable oil,12
Belgian,vegetable oil,5
Costarican,vegetable oil,6
Guatemalan,vegetable oil,3
Finnish,vegetable oil,4
Moroccan,vegetable oil,43
Iranian Persian,vegetable oil,13
Turkish,vegetable oil,8
Portuguese,vegetable oil,14
Hungarian,vegetable oil,25
Georgian,vegetable oil,2
Brazilian,vegetable oil,20
Nigerian,vegetable oil,2
Ethiopian,vegetable oil,7
Ecuadorean,vegetable oil,1
Peruvian,vegetable oil,21
Egyptian,vegetable oil,12
Argentine,vegetable oil,5
Chilean,vegetable oil,12
Malaysian,vegetable oil,11
Nepalese,vegetable oil,10
Vietnamese,vegetable oil,80
Palestinian,vegetable oil,7
Norwegian,vegetable oil,7
Austrian,vegetable oil,11
Libyan,vegetable oil,
Angolan,vegetable oil,
Korean,vegetable oil,40
Cambodian,vegetable oil,12
Mongolian,vegetable oil,
Northamerican,all-purpose flour,3888
Mexican,all-purpose flour,203
American,all-purpose flour,2563
Canadian,all-purpose flour,505
Hawaiian,all-purpose flour,19
